Price_Gt_50MA,50MA_Gt_200MA,RSI_13W_Gt_RSI_25W,OBV_20D_Positive,EPS_3yr_Growth_Raw,PEG_01_to_05,PEG_Less_1,PEG_Less_1_5,Div_Yield_Raw,MC_to_CF_Less_3,DE_Less_1,Cash_Ratio_Gt_1,Cash_Ratio_Improving,FCF_Positive,FCF_Growing,FCF_Growing_3Yrs_Streak,OCF_Gt_NetIncome,ROA_Positive,ROE_Gt_15_3Yrs,Net_Income_Growth_Gt_8pct,Sales_Growth_Gt_RnD_Growth,Op_Margin_Gt_3yr_Avg,Ticker,Sector,Market_Cap_Raw,PE_Raw,Free_Cash_Flow_Raw,PB_Raw,ROE_Raw,Net_Profit_Margin_Raw,Net_Profit_Margin_Prev_Raw,Net_Profit_Margin_Prev_2_Raw,Gross_Profit_Margin_Raw,Operating_Margin_Raw,Sales_3yr_Growth_Raw,Debt_To_Assets_Ratio_Raw,Assets_To_Liability_Ratio_Raw,Long_Term_Debt_To_Equity_Raw,Sales_To_Assets_Ratio_Raw,Current_EPS_Change_Raw,Screening_Date,Forward_6m_Return,Market_Cap_Top_30_Pct,Market_Cap_Top_25_Pct,PE_Bottom_40_Pct,PE_Bottom_20_Pct,FCF_Top_30_Pct,PE_Below_Industry,PB_Below_Industry,Div_Yield_Above_Industry,Margin_Above_Industry,Gross_Margin_Above_Industry,Operating_Margin_Above_Industry,ROE_Above_Industry,Debt_To_Assets_Ratio_Below_Industry,Long_Term_Debt_To_Equity_Ratio_Below_Industry,Assets_To_Liability_Ratio_Above_Industry,Sales_To_Assets_Ratio_Above_Industry,Growth_Above_Industry,EPS_Growth_Above_Industry,EPS_Current_Change_Above_Industry,Margin_Gt_Industry_3yr_Streak
1,1,1,1,,0,0,0,0.008479977106376631,0,1,0,0,1,0,0,1,1,0,0,0,1,MSCI,Financial Services,43975944194.42261,51.01803017016466,1022474000.0,,,0.38716257863788905,,,0.8201808415732825,0.5370635391475044,,1.2016844304241991,0.8321652296410267,-4.6070104422452065,0.4499414211206125,,2023-12-31,-0.14748151658347003,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0.3404452690166977,0,1,1,0.01183183186082315,0,1,0,0,1,1,0,1,1,0,0,0,1,MSCI,Financial Services,37271743309.688965,32.612465195177336,1145178000.0,,,0.4541828132167091,0.38716257863788905,,0.823410388624393,0.5475100042705977,0.12466523584918243,1.1340584706768615,0.8817887488668473,-6.255862680530548,0.4582855446657699,0.3404452690166976,2024-06-30,0.25158315764279116,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0.3404452690166977,0,0,1,0.009447820822471625,0,1,0,0,1,1,0,1,1,0,0,0,1,MSCI,Financial Services,46676689607.73462,40.84171493160684,1145178000.0,,,0.4541828132167091,0.38716257863788905,,0.823410388624393,0.5475100042705977,0.12466523584918243,1.1340584706768615,0.8817887488668473,-6.255862680530548,0.4582855446657699,0.3404452690166976,2024-12-31,-0.03272412572380398,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,,0,0,1,0.01449834602006006,0,0,0,0,0,0,0,0,1,0,0,0,1,BALL,Consumer Cyclical,17519239756.628998,24.57029367858618,-1350000000.0,5.061901114310603,0.16122,0.05376906969787616,,,0.16826204008375711,0.0823362249476518,,0.8228439399266664,1.2152972774996949,2.58537994799191,0.6716560349590638,,2023-12-31,0.04159909248142804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,-0.008810572687224627,0,0,1,0.013632913108028614,0,0,0,1,1,1,0,1,1,0,0,0,1,BALL,Consumer Cyclical,18484677339.54775,26.023666381835938,818000000.0,4.904398338961992,0.16122,0.05861382855247886,0.05376906969787616,,0.1913447189520809,0.09708174432100812,-0.09796589889320972,0.8012226078847847,1.2480925901978535,2.2735473600424516,0.6248769621302388,-0.008810572687224677,2024-06-30,-0.07795798697576313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.008810572687224627,0,0,1,0.01474801862854523,0,0,0,1,1,1,0,1,1,0,0,0,1,BALL,Consumer Cyclical,17087041069.520111,24.05600314670139,818000000.0,4.533574176046726,0.16122,0.05861382855247886,0.05376906969787616,,0.1913447189520809,0.09708174432100812,-0.09796589889320972,0.8012226078847847,1.2480925901978535,2.2735473600424516,0.6248769621302388,-0.008810572687224677,2024-12-31,0.02511648617699246,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,1,,0,0,1,0.0,0,1,0,0,1,0,0,1,1,0,0,0,1,AKAM,Technology,18521161234.80786,35.972643913106715,816374000.0,4.247790572929065,0.091730006,0.14479460849724635,,,0.6173758949570515,0.19660161021762104,,0.47489136980032276,2.1057447315171665,0.7280919373412196,0.43556302237637595,,2023-12-31,-0.24351499844865754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.09118541033434635,0,0,0,0.0,0,1,0,0,1,0,0,1,1,0,0,1,1,AKAM,Technology,13623060629.555725,25.09192251561412,618399000.0,2.963367697968793,0.091730006,0.14366224894541332,0.14479460849724635,,0.603595301055636,0.18453115490356567,0.0539907881705024,0.535642644567894,1.8669163296486704,0.9866926392518851,0.38504098520035834,0.09118541033434645,2024-06-30,0.060834764832896106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0.09118541033434635,0,0,0,0.0,0,1,0,0,1,0,0,1,1,0,0,1,1,AKAM,Technology,14465427880.963104,26.643454464033123,618399000.0,3.146604341372676,0.091730006,0.14366224894541332,0.14479460849724635,,0.603595301055636,0.18453115490356567,0.0539907881705024,0.535642644567894,1.8669163296486704,0.9866926392518851,0.38504098520035834,0.09118541033434645,2024-12-31,-0.16612649384380057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,,0,1,1,0.05335124990868021,0,1,0,0,0,0,0,1,0,0,0,0,0,PRU,Financial Services,34057308931.09545,,,1.1132386144247197,0.11359999,-0.028901835538553328,,,,,,0.95367538956996,1.0485748200453502,0.6882947079397248,0.0827047918157291,,2023-12-31,0.15932213644483173,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
