Ticker,Screening_Date,Sector,Missing_Count,Missing_Features
PRU,2023-12-31,Financial Services,9,"EPS_3yr_Growth_Raw, PE_Raw, Free_Cash_Flow_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Gross_Profit_Margin_Raw, Operating_Margin_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
MSCI,2023-12-31,Financial Services,7,"EPS_3yr_Growth_Raw, PB_Raw, ROE_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
PGR,2023-12-31,Financial Services,7,"EPS_3yr_Growth_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Gross_Profit_Margin_Raw, Operating_Margin_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
AKAM,2023-12-31,Technology,5,"EPS_3yr_Growth_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
BALL,2023-12-31,Consumer Cyclical,5,"EPS_3yr_Growth_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
BSX,2023-12-31,Healthcare,5,"EPS_3yr_Growth_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
COO,2023-12-31,Healthcare,5,"EPS_3yr_Growth_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
KO,2023-12-31,Consumer Defensive,5,"EPS_3yr_Growth_Raw, Net_Profit_Margin_Prev_Raw, Net_Profit_Margin_Prev_2_Raw, Sales_3yr_Growth_Raw, Current_EPS_Change_Raw"
PRU,2024-06-30,Financial Services,4,"Free_Cash_Flow_Raw, Net_Profit_Margin_Prev_2_Raw, Gross_Profit_Margin_Raw, Operating_Margin_Raw"
PRU,2024-12-31,Financial Services,4,"Free_Cash_Flow_Raw, Net_Profit_Margin_Prev_2_Raw, Gross_Profit_Margin_Raw, Operating_Margin_Raw"
AZO,2023-12-31,Consumer Cyclical,3,"PB_Raw, ROE_Raw, Net_Profit_Margin_Prev_2_Raw"
AZO,2024-06-30,Consumer Cyclical,3,"PB_Raw, ROE_Raw, Net_Profit_Margin_Prev_2_Raw"
MSCI,2024-06-30,Financial Services,3,"PB_Raw, ROE_Raw, Net_Profit_Margin_Prev_2_Raw"
MSCI,2024-12-31,Financial Services,3,"PB_Raw, ROE_Raw, Net_Profit_Margin_Prev_2_Raw"
PGR,2024-06-30,Financial Services,3,"Net_Profit_Margin_Prev_2_Raw, Gross_Profit_Margin_Raw, Operating_Margin_Raw"
PGR,2024-12-31,Financial Services,3,"Net_Profit_Margin_Prev_2_Raw, Gross_Profit_Margin_Raw, Operating_Margin_Raw"
AZO,2024-12-31,Consumer Cyclical,2,"PB_Raw, ROE_Raw"
AKAM,2024-06-30,Technology,1,Net_Profit_Margin_Prev_2_Raw
AKAM,2024-12-31,Technology,1,Net_Profit_Margin_Prev_2_Raw
BALL,2024-06-30,Consumer Cyclical,1,Net_Profit_Margin_Prev_2_Raw
BALL,2024-12-31,Consumer Cyclical,1,Net_Profit_Margin_Prev_2_Raw
BSX,2024-06-30,Healthcare,1,Net_Profit_Margin_Prev_2_Raw
BSX,2024-12-31,Healthcare,1,Net_Profit_Margin_Prev_2_Raw
COO,2024-06-30,Healthcare,1,Net_Profit_Margin_Prev_2_Raw
COO,2024-12-31,Healthcare,1,Net_Profit_Margin_Prev_2_Raw
DRI,2023-12-31,Consumer Cyclical,1,Net_Profit_Margin_Prev_2_Raw
DRI,2024-06-30,Consumer Cyclical,1,Net_Profit_Margin_Prev_2_Raw
KO,2024-06-30,Consumer Defensive,1,Net_Profit_Margin_Prev_2_Raw
KO,2024-12-31,Consumer Defensive,1,Net_Profit_Margin_Prev_2_Raw
DRI,2024-12-31,Consumer Cyclical,0,
