Ticker,Screening_Date,Sector,Missing_Feature_Count,Missing_Features_List
PRU,2023-12-31,Financial Services,19,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, PE_Bottom_40_Pct, PE_Bottom_20_Pct, FCF_Top_30_Pct, PE_Below_Industry, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
ALL,2023-12-31,Financial Services,17,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, PE_Bottom_40_Pct, PE_Bottom_20_Pct, PE_Below_Industry, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
CINF,2023-12-31,Financial Services,17,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, PE_Bottom_40_Pct, PE_Bottom_20_Pct, PE_Below_Industry, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
AFL,2023-12-31,Financial Services,16,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, FCF_Top_30_Pct, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
AIG,2023-12-31,Financial Services,16,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, FCF_Top_30_Pct, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
BAC,2023-12-31,Financial Services,16,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, FCF_Top_30_Pct, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
CB,2023-12-31,Financial Services,16,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, FCF_Top_30_Pct, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
EG,2023-12-31,Financial Services,16,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, FCF_Top_30_Pct, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
JPM,2023-12-31,Financial Services,16,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, FCF_Top_30_Pct, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
MET,2023-12-31,Financial Services,16,"Cash_Ratio_Gt_1, Cash_Ratio_Improving, FCF_Positive, FCF_Growing, FCF_Growing_Sustained, Net_Income_Growth_Gt_8pct, Sales_Growth_Gt_RnD_Growth, Sales_Growing_Sustained, Op_Margin_Gt_Hist_Avg, FCF_Top_30_Pct, Gross_Margin_Above_Industry, Operating_Margin_Above_Industry, Growth_Above_Industry, EPS_Growth_Above_Industry, EPS_Current_Change_Above_Industry, Margin_Gt_Industry_Sustained"
